text,label,author_id,timestamp
começando no Python #trabalho,0,u0448,2025-05-15 23:41:00
"suporte respondeu em 2 segundos, economizei uns trilhões!! ✨ #promoção",1,u0321,2024-04-26 11:27:00
"Ai, "" acordei e o café derramou no teclado "" tá ótimo 😂",1,u0178,2024-05-14 02:58:00
"árbitro viu tudo certinho, fila de uns 3 km!! 🤡",1,u0453,2024-09-20 15:51:00
"entrega chegou antes do prazo, atendimento nível NASA!! 👏",1,u0285,2024-03-12 01:42:00
finalmente chovendo aqui. Achei bem interessante.,0,u0320,2024-11-01 07:19:00
partiu academia #estudos,0,u0405,2024-07-16 05:39:00
finalmente chovendo aqui 👍,0,u0347,2025-09-22 23:37:00
Adoro quando transmissão sem travar. #timão,1,u0166,2024-10-17 16:42:00
"Ai, "" transparência nível máximo "" perfeito só que não 👏 #brasil",1,u0211,2025-06-30 04:17:00
Adoro quando conta de luz veio baixinha.,1,u0494,2024-11-26 20:20:00
"vizinho tocando funk 3am, amo. quem nunca, né? 🙄",1,u0587,2025-05-09 03:15:00
mais uma promessa cumprida aham tá 😏,1,u0110,2025-03-08 19:04:00
"fila do banco às 17h, que sorte. isso que é eficiência, certo? 🙄 #brasil",1,u0077,2024-04-19 13:14:00
Adoro quando mais uma promessa cumprida.,1,u0415,2024-09-02 22:10:00
café passado na hora 🧠,0,u0325,2024-11-03 08:03:00
"acordei e o café derramou no teclado, economizei uns trilhões!! 🤡",1,u0085,2024-08-23 19:51:00
"""acordei e o café derramou no teclado"" #sarcasmo 👏",1,u0073,2024-04-21 07:12:00
Adoro quando app não caiu hoje.,1,u0265,2024-04-02 19:38:00
"Ai, "" conta de luz veio baixinha "" topíssimo!! 🙄",1,u0138,2024-08-18 06:09:00
ótima aula hoje. Boa semana a todos.,0,u0570,2024-03-30 21:54:00
assistindo a série nova. Boa semana a todos.,0,u0319,2025-03-01 15:29:00
alguém indica um livro de IA?,0,u0142,2024-07-23 01:20:00
"adoro pagar imposto pra isso. quem nunca, né? 🤡 #bbb",1,u0245,2025-04-30 02:05:00
"""backup terminou sem erro"" #sóquenão 🔥",1,u0094,2024-02-28 11:53:00
foco no TCC #bbb,0,u0342,2024-01-15 23:21:00
"Ai, "" o debate elevou o nível, né "" que alegria… 🙄 😅 #bbb",1,u0370,2025-04-09 00:46:00
"pneu furado bem na chuva. isso que é eficiência, certo? 😏 #tecnologia",1,u0056,2025-07-28 17:16:00
Adoro quando garantia funciona perfeitamente. #promoção,1,u0542,2024-12-28 02:25:00
café passado na hora #feriado,0,u0541,2024-11-17 20:17:00
alguém indica um livro de IA? #estudos,0,u0528,2024-05-27 10:55:00
"jogo às 21h, vamos!. Achei bem interessante.",0,u0095,2025-07-29 03:20:00
"Ai, "" preço baixou muito esse mês "" amei… 🙄",1,u0078,2024-12-10 03:05:00
partiu academia. Achei bem interessante.,0,u0500,2025-07-26 06:30:00
ótima aula hoje. Boa semana a todos.,0,u0451,2024-06-19 22:28:00
"""árbitro viu tudo certinho"" #sóquenão 🙄",1,u0090,2025-07-28 19:39:00
time adversário nunca cai no chão sqn 🔥 #estudos,1,u0371,2025-06-21 19:18:00
"Ai, "" preço baixou muito esse mês "" amei… 😅",1,u0538,2024-06-16 09:06:00
"árbitro viu tudo certinho. tudo sob controle, né 😒 #promoção",1,u0156,2024-12-04 11:44:00
alguém indica um livro de IA?,0,u0389,2025-05-05 07:44:00
mais uma promessa cumprida só que não 😅,1,u0196,2025-08-12 06:45:00
suco de laranja perfeito #promoção,0,u0339,2025-02-11 17:30:00
"bom dia, pessoal. Achei bem interessante.",0,u0300,2024-09-28 20:13:00
alguém indica um livro de IA?,0,u0334,2024-04-12 13:21:00
"acordei e o café derramou no teclado. isso que é eficiência, certo? 👏",1,u0034,2024-04-21 14:32:00
"pneu furado bem na chuva, fila de uns 3 km!! 👏",1,u0210,2025-03-28 21:13:00
"que gestão exemplar da cidade. quem nunca, né? 😒",1,u0562,2024-03-04 06:53:00
"Ai, "" que gestão exemplar da cidade "" nota 1000!! ✨",1,u0540,2024-02-25 21:41:00
assistindo a série nova,0,u0391,2025-07-17 05:26:00
ônibus lotado é meu spa diário. o que poderia dar errado? 🔥,1,u0205,2024-10-13 01:44:00
começando no Python. Achei bem interessante.,0,u0466,2025-04-13 02:07:00
alguém indica um livro de IA?. Achei bem interessante.,0,u0248,2025-03-02 05:42:00
Adoro quando suporte respondeu em 2 segundos. #streaming,1,u0594,2024-03-16 02:20:00
"conta de luz veio baixinha. tudo sob controle, né ✨ #bbb",1,u0119,2025-06-05 15:05:00
"bom dia, pessoal. Achei bem interessante.",0,u0221,2024-06-06 21:28:00
"mais uma promessa cumprida, atendimento nível NASA!! 😏",1,u0236,2025-05-17 03:55:00
arrumei meu PC hoje #brasil,0,u0432,2024-08-11 18:04:00
partiu academia 👍,0,u0204,2025-04-13 01:18:00
alguém indica um livro de IA?,0,u0515,2025-03-27 10:26:00
"bom dia, pessoal",0,u0434,2024-05-20 22:21:00
indo trabalhar agora #trabalho,0,u0337,2024-11-09 14:38:00
"""transparência nível máximo"" #sóquenão ✨ #tecnologia",1,u0350,2025-08-03 22:20:00
"Ai, "" deploy de sexta é tranquilo "" amei… 😅",1,u0401,2024-04-26 16:32:00
ótima aula hoje #chuva,0,u0272,2025-02-12 04:48:00
promoção legal na loja do bairro. Achei bem interessante.,0,u0479,2024-02-10 02:12:00
indo trabalhar agora. Boa semana a todos.,0,u0513,2025-01-14 02:34:00
"preço baixou muito esse mês, atendimento nível NASA!! 😂 #estudos",1,u0539,2025-08-24 00:48:00
"bom dia, pessoal. Boa semana a todos.",0,u0308,2024-12-18 22:04:00
arrumei meu PC hoje. Achei bem interessante.,0,u0394,2024-09-08 15:35:00
suco de laranja perfeito #brasil,0,u0410,2024-01-10 09:36:00
Adoro quando adoro pagar imposto pra isso. #estudos,1,u0372,2025-08-16 21:31:00
"""trânsito fluindo que é uma beleza"" #ironia 🔥",1,u0185,2025-06-29 04:08:00
partiu academia. Achei bem interessante.,0,u0256,2025-03-02 19:40:00
alguém indica um livro de IA? 🌞,0,u0263,2024-03-24 16:28:00
promoção legal na loja do bairro,0,u0482,2024-12-09 09:29:00
"jogo às 21h, vamos!. Achei bem interessante.",0,u0368,2024-10-07 09:07:00
trânsito fluindo que é uma beleza. o que poderia dar errado? 😒 #timão,1,u0177,2025-04-12 04:51:00
partiu academia #bbb,0,u0551,2024-02-15 11:34:00
o ônibus chegou no horário,0,u0278,2025-04-07 05:57:00
"""time adversário nunca cai no chão"" #sarcasmo 👏",1,u0299,2024-11-02 20:27:00
Adoro quando transmissão sem travar.,1,u0080,2024-04-03 15:22:00
"""servidor reiniciou sozinho, sucesso"" #ironia 👏",1,u0213,2024-11-10 07:03:00
"servidor reiniciou sozinho, sucesso sqn 😏 #trabalho",1,u0395,2024-04-13 16:49:00
começando no Python. Achei bem interessante.,0,u0228,2025-08-11 07:45:00
"adoro pagar imposto pra isso, atendimento nível NASA!! 😅",1,u0556,2024-11-03 16:19:00
partiu academia #tecnologia,0,u0169,2025-05-15 10:30:00
alguém indica um livro de IA? 🌧️,0,u0502,2024-10-04 17:44:00
o ônibus chegou no horário,0,u0403,2024-02-19 00:26:00
o ônibus chegou no horário,0,u0017,2025-03-17 04:56:00
o ônibus chegou no horário. Boa semana a todos.,0,u0471,2025-01-19 02:43:00
arrumei meu PC hoje #bbb,0,u0544,2024-07-19 10:14:00
"bom dia, pessoal. Achei bem interessante.",0,u0238,2025-05-06 05:33:00
"""trânsito fluindo que é uma beleza"" #ironia 👏 #bbb",1,u0498,2025-08-01 06:04:00
suporte respondeu em 2 segundos só que não 😂 #brasil,1,u0438,2025-02-03 08:59:00
"""árbitro viu tudo certinho"" #sqn 😅",1,u0301,2025-03-02 19:38:00
"motorista dando seta sempre, fila de uns 3 km!! 🤡",1,u0091,2025-04-24 22:19:00
alguém indica um livro de IA? 🙂,0,u0486,2025-06-27 07:40:00
app não caiu hoje sqn 😏,1,u0229,2024-06-09 00:26:00
o ônibus chegou no horário 🙂,0,u0397,2025-02-10 15:11:00
suco de laranja perfeito,0,u0520,2024-03-08 09:25:00
"Ai, "" trânsito fluindo que é uma beleza "" show de bola!! 😏 #bbb",1,u0406,2025-03-07 16:07:00
"o debate elevou o nível, né. tudo sob controle, né 🙄",1,u0132,2025-08-20 04:14:00
café passado na hora #timão,0,u0488,2025-01-30 16:28:00
time adversário nunca cai no chão. o que poderia dar errado? 🙄,1,u0279,2024-12-23 00:26:00
"o debate elevou o nível, né sqn 😏",1,u0430,2024-04-27 18:13:00
"transmissão sem travar. isso que é eficiência, certo? 🤡 #tecnologia",1,u0427,2024-03-29 08:56:00
arrumei meu PC hoje #trabalho,0,u0552,2024-01-17 11:50:00
"bom dia, pessoal. Boa semana a todos.",0,u0306,2025-07-12 09:41:00
Adoro quando fila do mercado voando.,1,u0287,2024-10-03 19:51:00
Adoro quando deploy de sexta é tranquilo. #timão,1,u0376,2024-04-12 14:10:00
"servidor reiniciou sozinho, sucesso, fila de uns 3 km!! 😅 #estudos",1,u0249,2024-07-13 08:02:00
indo trabalhar agora #streaming,0,u0153,2024-09-19 23:30:00
pneu furado bem na chuva. imagina se fosse difícil ✨ #streaming,1,u0535,2025-02-12 13:46:00
"fila do mercado voando. tudo sob controle, né ✨ #streaming",1,u0599,2024-11-28 05:31:00
partiu academia,0,u0050,2024-03-17 21:40:00
"jogo às 21h, vamos! 💻",0,u0115,2025-05-05 20:11:00
o ônibus chegou no horário,0,u0522,2024-12-05 08:07:00
suco de laranja perfeito. Achei bem interessante.,0,u0018,2024-02-12 00:05:00
"""backup terminou sem erro"" #aham ✨ #timão",1,u0200,2025-04-17 03:41:00
"bom dia, pessoal. Boa semana a todos.",0,u0444,2025-04-26 01:40:00
"pneu furado bem na chuva, coisa mais rápida do universo!! ✨ #estudos",1,u0576,2025-06-04 23:56:00
"""time adversário nunca cai no chão"" #sqn ✨",1,u0074,2024-09-03 22:30:00
assistindo a série nova #feriado,0,u0292,2024-01-02 19:22:00
"jogo às 21h, vamos! #timão",0,u0382,2025-07-17 17:18:00
"""wifi do aeroporto é um foguete"" #aham 😒 #streaming",1,u0117,2024-08-17 03:22:00
"fila do banco às 17h, que sorte. o que poderia dar errado? 😅 #feriado",1,u0040,2024-09-06 09:42:00
"Ai, "" fila do banco às 17h, que sorte "" excelente serviço 👏 😒",1,u0209,2024-03-23 19:02:00
"""entrega chegou antes do prazo"" #ironia 🙄 #estudos",1,u0420,2024-01-28 17:12:00
finalmente chovendo aqui #streaming,0,u0262,2024-08-07 19:18:00
"Ai, "" ingresso baratinho "" sensacional, claro 🙄",1,u0193,2024-11-17 07:16:00
"jogo às 21h, vamos! 🎵",0,u0194,2024-02-13 09:45:00
café passado na hora #timão,0,u0526,2025-07-31 03:03:00
promoção legal na loja do bairro. Achei bem interessante.,0,u0163,2025-01-23 12:52:00
"jogo às 21h, vamos!",0,u0577,2024-02-21 09:31:00
"servidor reiniciou sozinho, sucesso, fila de uns 3 km!! 🤡",1,u0354,2025-09-11 13:06:00
arrumei meu PC hoje. Boa semana a todos.,0,u0123,2024-06-01 09:24:00
"""conta de luz veio baixinha"" #aham 🤡 #trabalho",1,u0366,2024-11-12 10:22:00
suco de laranja perfeito #streaming,0,u0046,2024-01-24 02:25:00
"conta de luz veio baixinha. tudo sob controle, né 🔥",1,u0537,2025-05-01 14:16:00
"motorista dando seta sempre, economizei uns trilhões!! 🙄 #timão",1,u0549,2024-10-19 07:17:00
"""entrega chegou antes do prazo"" #sarcasmo 🔥 #brasil",1,u0061,2024-06-04 04:51:00
"fila do banco às 17h, que sorte, coisa mais rápida do universo!! 🤡",1,u0087,2025-09-13 13:13:00
café passado na hora. Boa semana a todos.,0,u0125,2024-04-23 09:15:00
suco de laranja perfeito,0,u0578,2025-08-10 07:34:00
partiu academia #feriado,0,u0582,2025-04-22 17:41:00
"o debate elevou o nível, né. isso que é eficiência, certo? 😂 #chuva",1,u0282,2025-09-29 15:40:00
"que gestão exemplar da cidade, fila de uns 3 km!! 😂 #feriado",1,u0305,2024-05-18 14:11:00
Adoro quando pneu furado bem na chuva. #trabalho,1,u0465,2025-03-01 15:30:00
partiu academia. Boa semana a todos.,0,u0303,2025-06-15 14:09:00
foco no TCC #tecnologia,0,u0037,2024-01-07 08:24:00
promoção legal na loja do bairro. Achei bem interessante.,0,u0226,2024-05-23 10:59:00
ótima aula hoje,0,u0120,2024-06-28 13:56:00
ótima aula hoje. Boa semana a todos.,0,u0409,2024-07-23 03:08:00
"""ônibus lotado é meu spa diário"" #sóquenão 😅",1,u0239,2025-08-02 01:22:00
"suporte respondeu em 2 segundos, fila de uns 3 km!! 🙄",1,u0082,2024-10-06 13:31:00
Adoro quando fila do mercado voando.,1,u0454,2025-04-13 10:59:00
ótima aula hoje. Achei bem interessante.,0,u0364,2025-01-17 13:44:00
"garantia funciona perfeitamente. quem nunca, né? 😂 #trabalho",1,u0012,2025-04-09 02:43:00
SP sem trânsito numa segunda aham tá 🔥,1,u0055,2025-07-31 18:28:00
partiu academia #chuva,0,u0423,2024-10-19 20:03:00
Adoro quando wifi do aeroporto é um foguete.,1,u0154,2024-07-24 04:50:00
partiu academia #bbb,0,u0396,2024-05-23 23:34:00
"garantia funciona perfeitamente, fila de uns 3 km!! 👏",1,u0330,2025-03-29 19:52:00
indo trabalhar agora ☕,0,u0443,2025-01-05 12:36:00
arrumei meu PC hoje. Boa semana a todos.,0,u0144,2024-08-27 17:13:00
assistindo a série nova. Boa semana a todos.,0,u0358,2024-07-27 13:32:00
conta de luz veio baixinha só que não 😅,1,u0384,2024-05-24 11:19:00
o ônibus chegou no horário. Achei bem interessante.,0,u0298,2025-06-01 06:36:00
partiu academia. Achei bem interessante.,0,u0004,2024-10-13 19:43:00
Adoro quando time adversário nunca cai no chão. #trabalho,1,u0084,2024-05-25 02:03:00
"Ai, "" preço baixou muito esse mês "" topíssimo!! 😏 #streaming",1,u0435,2024-10-22 21:25:00
"""trânsito fluindo que é uma beleza"" #aham 🤡",1,u0001,2024-02-01 01:30:00
"bom dia, pessoal",0,u0501,2025-06-28 17:26:00
Adoro quando app não caiu hoje.,1,u0351,2024-05-29 04:02:00
app não caiu hoje só que não 😂 #trabalho,1,u0290,2024-08-04 04:48:00
promoção legal na loja do bairro,0,u0124,2024-09-03 06:04:00
ótima aula hoje 🙂,0,u0458,2024-10-01 12:43:00
"transmissão sem travar, coisa mais rápida do universo!! 🙄",1,u0183,2024-06-30 13:01:00
"suporte respondeu em 2 segundos, economizei uns trilhões!! 😒 #promoção",1,u0589,2024-01-12 21:46:00
café passado na hora. Boa semana a todos.,0,u0581,2025-01-17 01:39:00
café passado na hora. Achei bem interessante.,0,u0250,2025-06-03 16:35:00
finalmente chovendo aqui. Boa semana a todos.,0,u0574,2024-09-07 21:25:00
arrumei meu PC hoje #promoção,0,u0345,2024-06-12 00:09:00
"bom dia, pessoal #promoção",0,u0130,2025-08-21 18:46:00
começando no Python,0,u0230,2025-03-02 18:19:00
"Ai, "" adoro pagar imposto pra isso "" show de bola!! 👏 #tecnologia",1,u0025,2024-04-15 11:49:00
"suporte respondeu em 2 segundos, esperando só umas 27 horas!! ✨",1,u0590,2024-12-26 09:48:00
"""fila do banco às 17h, que sorte"" #aham 😒",1,u0102,2024-07-20 11:27:00
alguém indica um livro de IA? 📚,0,u0112,2025-05-04 04:29:00
"bom dia, pessoal. Achei bem interessante.",0,u0580,2025-07-29 06:23:00
suco de laranja perfeito #estudos,0,u0311,2025-03-21 08:40:00
"Ai, "" ingresso baratinho "" topíssimo!! ✨ #feriado",1,u0441,2024-02-22 09:38:00
conta de luz veio baixinha. imagina se fosse difícil 🔥,1,u0566,2024-01-07 05:44:00
motorista dando seta sempre. imagina se fosse difícil 🤡 #timão,1,u0474,2025-01-26 01:54:00
partiu academia #tecnologia,0,u0054,2025-01-14 10:26:00
"""vizinho tocando funk 3am, amo"" #sóquenão 😅",1,u0437,2025-01-30 09:16:00
"pneu furado bem na chuva. isso que é eficiência, certo? 👏 #trabalho",1,u0019,2024-11-28 18:38:00
alguém indica um livro de IA? #trabalho,0,u0530,2024-01-16 06:59:00
promoção legal na loja do bairro. Achei bem interessante.,0,u0363,2025-02-15 16:02:00
finalmente chovendo aqui. Boa semana a todos.,0,u0051,2024-01-18 11:21:00
Adoro quando transmissão sem travar. #promoção,1,u0560,2024-12-15 00:54:00
"""vizinho tocando funk 3am, amo"" #sqn 🔥 #promoção",1,u0093,2024-12-01 19:14:00
alguém indica um livro de IA?. Achei bem interessante.,0,u0426,2024-11-22 18:38:00
app não caiu hoje só que não 🤡 #promoção,1,u0516,2024-11-05 19:51:00
"preço baixou muito esse mês. quem nunca, né? 😂",1,u0573,2025-04-21 09:43:00
"""time adversário nunca cai no chão"" #sqn 🤡",1,u0532,2025-08-22 17:45:00
"ônibus lotado é meu spa diário, esperando só umas 27 horas!! 👏",1,u0571,2024-05-31 13:08:00
o ônibus chegou no horário ⚽,0,u0326,2025-04-16 11:09:00
"backup terminou sem erro, esperando só umas 27 horas!! 😅",1,u0281,2024-07-31 20:13:00
ótima aula hoje. Boa semana a todos.,0,u0452,2025-01-11 16:17:00
"transmissão sem travar. quem nunca, né? ✨",1,u0070,2025-03-04 05:52:00
"jogo às 21h, vamos! #promoção",0,u0439,2025-01-09 04:12:00
"app não caiu hoje, coisa mais rápida do universo!! 😂 #streaming",1,u0600,2025-03-25 16:33:00
Adoro quando deploy de sexta é tranquilo. #feriado,1,u0341,2024-08-27 13:02:00
assistindo a série nova 🧠,0,u0024,2025-05-29 01:53:00
o ônibus chegou no horário. Achei bem interessante.,0,u0026,2025-03-24 01:08:00
"""transparência nível máximo"" #ironia 🤡",1,u0069,2024-04-28 03:15:00
"vizinho tocando funk 3am, amo, coisa mais rápida do universo!! 😒",1,u0235,2024-11-01 20:32:00
"Ai, "" wifi do aeroporto é um foguete "" topíssimo!! 😂",1,u0275,2025-03-16 05:08:00
começando no Python. Achei bem interessante.,0,u0208,2025-06-20 15:56:00
"Ai, "" motorista dando seta sempre "" amei… 🙄 #trabalho",1,u0168,2024-07-21 05:38:00
assistindo a série nova. Boa semana a todos.,0,u0543,2025-05-29 22:49:00
ônibus lotado é meu spa diário. o que poderia dar errado? 😏,1,u0495,2025-08-27 10:55:00
promoção legal na loja do bairro 🌧️,0,u0302,2024-10-27 10:06:00
adoro pagar imposto pra isso aham tá 🤡 #estudos,1,u0246,2025-03-20 11:46:00
trânsito fluindo que é uma beleza. imagina se fosse difícil ✨ #streaming,1,u0136,2024-09-12 02:28:00
"""pneu furado bem na chuva"" #sarcasmo 🔥",1,u0047,2024-10-08 18:03:00
indo trabalhar agora. Achei bem interessante.,0,u0322,2024-06-21 18:37:00
arrumei meu PC hoje. Boa semana a todos.,0,u0324,2025-07-24 16:08:00
"adoro pagar imposto pra isso. quem nunca, né? 🙄",1,u0007,2024-12-11 12:17:00
"que gestão exemplar da cidade, atendimento nível NASA!! 🙄 #timão",1,u0473,2025-01-18 07:01:00
café passado na hora. Boa semana a todos.,0,u0531,2025-04-12 18:03:00
promoção legal na loja do bairro. Boa semana a todos.,0,u0469,2024-10-19 17:00:00
"""mais uma promessa cumprida"" #sóquenão 🙄",1,u0150,2025-07-15 23:38:00
café passado na hora. Boa semana a todos.,0,u0355,2025-07-04 21:52:00
promoção legal na loja do bairro 🧠,0,u0126,2024-09-02 17:20:00
começando no Python,0,u0097,2024-09-07 23:02:00
"Ai, "" motorista dando seta sempre "" que alegria… 🙄 🤡",1,u0362,2024-10-09 17:00:00
partiu academia #tecnologia,0,u0098,2024-11-05 04:42:00
Adoro quando mais uma promessa cumprida.,1,u0276,2024-10-05 09:38:00
arrumei meu PC hoje 🎵,0,u0247,2024-07-27 10:41:00
Adoro quando acordei e o café derramou no teclado. #brasil,1,u0375,2024-09-10 06:53:00
partiu academia. Achei bem interessante.,0,u0195,2025-04-27 23:46:00
juiz é imparcialíssimo. o que poderia dar errado? 👏 #timão,1,u0141,2025-02-17 16:52:00
ótima aula hoje. Boa semana a todos.,0,u0546,2025-04-16 05:46:00
transparência nível máximo aham tá ✨ #brasil,1,u0212,2024-04-03 23:33:00
"bom dia, pessoal. Achei bem interessante.",0,u0220,2024-08-14 23:09:00
indo trabalhar agora. Achei bem interessante.,0,u0503,2024-02-04 14:38:00
promoção legal na loja do bairro #bbb,0,u0027,2025-02-06 19:47:00
finalmente chovendo aqui #feriado,0,u0049,2025-01-09 01:25:00
"""árbitro viu tudo certinho"" #sarcasmo 🤡 #timão",1,u0089,2025-04-10 02:42:00
"""conta de luz veio baixinha"" #aham 🤡",1,u0442,2024-04-16 04:16:00
"""adoro pagar imposto pra isso"" #aham 🙄 #streaming",1,u0597,2024-08-07 17:08:00
Adoro quando acordei e o café derramou no teclado.,1,u0297,2024-11-05 20:26:00
"jogo às 21h, vamos!",0,u0148,2024-07-01 17:25:00
café passado na hora. Achei bem interessante.,0,u0264,2025-05-16 22:36:00
